Date,extent
2010-01-01,13.74
2010-02-01,14.58
2010-03-01,15.14
2010-04-01,14.66
2010-05-01,12.87
2010-06-01,10.59
2010-07-01,8.07
2010-08-01,5.87
2010-09-01,4.87
2010-10-01,6.98
2010-11-01,9.61
2010-12-01,11.83
2011-01-01,13.46
2011-02-01,14.36
2011-03-01,14.55
2011-04-01,14.11
2011-05-01,12.68
2011-06-01,10.75
2011-07-01,7.72
2011-08-01,5.5
2011-09-01,4.56
2011-10-01,6.46
2011-11-01,9.77
2011-12-01,12.15
2012-01-01,13.73
2012-02-01,14.55
2012-03-01,15.2
2012-04-01,14.63
2012-05-01,13.01
2012-06-01,10.67
2012-07-01,7.67
2012-08-01,4.72
2012-09-01,3.57
2012-10-01,5.89
2012-11-01,9.39
2012-12-01,12.01
2013-01-01,13.7
2013-02-01,14.72
2013-03-01,15.03
2013-04-01,14.3
2013-05-01,13.0
2013-06-01,11.36
2013-07-01,8.13
2013-08-01,6.01
2013-09-01,5.21
2013-10-01,7.45
2013-11-01,9.94
2013-12-01,12.18
2014-01-01,13.65
2014-02-01,14.42
2014-03-01,14.76
2014-04-01,14.09
2014-05-01,12.7
2014-06-01,11.03
2014-07-01,8.11
2014-08-01,6.08
2014-09-01,5.22
2014-10-01,7.23
2014-11-01,10.11
2014-12-01,12.35
2015-01-01,13.6
2015-02-01,14.4
2015-03-01,14.37
2015-04-01,13.89
2015-05-01,12.47
2015-06-01,10.88
2015-07-01,8.38
2015-08-01,5.6
2015-09-01,4.62
2015-10-01,6.97
2015-11-01,9.85
2015-12-01,12.04
2016-01-01,13.46
2016-02-01,14.2
2016-03-01,14.4
2016-04-01,13.68
2016-05-01,11.92
2016-06-01,10.41
2016-07-01,7.94
2016-08-01,5.37
2016-09-01,4.53
2016-10-01,6.08
2016-11-01,8.66
2016-12-01,11.46
2017-01-01,13.19
2017-02-01,14.12
2017-03-01,14.29
2017-04-01,13.75
2017-05-01,12.63
2017-06-01,10.76
2017-07-01,7.94
2017-08-01,5.48
2017-09-01,4.82
2017-10-01,6.77
2017-11-01,9.49
2017-12-01,11.74
2018-01-01,13.08
2018-02-01,13.97
2018-03-01,14.3
2018-04-01,13.7
2018-05-01,12.23
2018-06-01,10.78
2018-07-01,8.27
2018-08-01,5.61
2018-09-01,4.79
2018-10-01,6.13
2018-11-01,9.82
2018-12-01,11.86
2019-01-01,13.57
2019-02-01,14.39
2019-03-01,14.57
2019-04-01,13.43
2019-05-01,12.19
2019-06-01,10.59
2019-07-01,7.59
2019-08-01,5.03
2019-09-01,4.36
2019-10-01,5.73
2019-11-01,9.35
2019-12-01,11.9
2020-01-01,13.64
2020-02-01,14.64
2020-03-01,14.73
2020-04-01,13.62
2020-05-01,12.34
2020-06-01,10.59
2020-07-01,7.29
2020-08-01,5.07
2020-09-01,4.0
2020-10-01,5.33
2020-11-01,8.99
2020-12-01,11.73
2021-01-01,13.5
2021-02-01,14.39
2021-03-01,14.66
2021-04-01,13.79
2021-05-01,12.68
2021-06-01,10.77
2021-07-01,7.65
2021-08-01,5.71
2021-09-01,4.95
2021-10-01,6.82
2021-11-01,9.83
2021-12-01,12.15
2022-01-01,13.87
2022-02-01,14.61
2022-03-01,14.59
2022-04-01,13.99
2022-05-01,12.88
2022-06-01,10.88
2022-07-01,8.29
2022-08-01,5.95
2022-09-01,4.9
2022-10-01,6.66
2022-11-01,9.73
2022-12-01,11.89
2023-01-01,13.36
2023-02-01,14.19
2023-03-01,14.43
2023-04-01,13.92
2023-05-01,12.82
2023-06-01,10.99
2023-07-01,8.21
2023-08-01,5.51
2023-09-01,4.38
2023-10-01,6.41
2023-11-01,9.68
2023-12-01,11.98
2024-01-01,13.92
2024-02-01,14.61
2024-03-01,14.87
2024-04-01,14.04
2024-05-01,12.74
2024-06-01,10.85
2024-07-01,7.87
2024-08-01,5.13
2024-09-01,4.35
2024-10-01,5.93
2024-11-01,9.15
2024-12-01,11.41
2025-01-01,13.11
2025-02-01,13.75
2025-03-01,14.12
2025-04-01,13.83
2025-05-01,12.49
2025-06-01,10.4
2025-07-01,7.66
2025-08-01,5.39
2025-09-01,4.75
2025-10-01,6.32
2025-11-01,8.77
2025-12-01,11.22
